Company Name,Symbol,Macro Economic Classification,Sector,Industry,Basic Industry,Market Cap,Free Float Market Cap
ICICI Bank Ltd.,ICICIBANK,Financial Services,Financial Services,Banks,Private Sector Bank,1028743.98,1024884.136
ICICI Lombard General Insurance Company Ltd.,ICICIGI,Financial Services,Financial Services,Insurance,General Insurance,94606.67,45685.37026
ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI,Financial Services,Financial Services,Insurance,Life Insurance,89648.12,24200.32976
IDBI Bank Ltd.,IDBI,Financial Services,Financial Services,Banks,Private Sector Bank,96180.24,5000.122005
Vodafone Idea Ltd.,IDEA,Telecommunication,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services,73023.21,18557.24119
IDFC First Bank Ltd.,IDFCFIRSTB,Financial Services,Financial Services,Banks,Private Sector Bank,50819.66,45670.81571
Indian Energy Exchange Ltd.,IEX,Financial Services,Financial Services,Capital Markets,Exchange and Data Platform,11936.2,10116.29863
IFCI Ltd.,IFCI,Financial Services,Financial Services,Finance,Financial Institution,14789.09,3548.819942
International Gemmological Institute (India) Ltd.,IGIL,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,15471.32,3627.358597
Indraprastha Gas Ltd.,IGL,Energy,Oil Gas & Consumable Fuels,Gas,LPG/CNG/PNG/LNG Supplier,28826.03,14402.86971
IIFL Finance Ltd.,IIFL,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),19264.22,10484.16793
Inventurus Knowledge Solutions Ltd.,IKS,Information Technology,Information Technology,IT - Services,IT Enabled Services,27880.64,4249.678418
Indegene Ltd.,INDGN,Healthcare,Healthcare,Healthcare Services,Healthcare Research Analytics & Technology,13804.01,4372.694825
Indian Hotels Co. Ltd.,INDHOTEL,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,105874.89,65142.59586
India Cements Ltd.,INDIACEM,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,11078.82,1733.304319
Indiamart Intermesh Ltd.,INDIAMART,Consumer Discretionary,Consumer Services,Retailing,Internet & Catalogue Retail,15266.18,7744.622294
Indian Bank,INDIANB,Financial Services,Financial Services,Banks,Public Sector Bank,87215.92,22818.12613
InterGlobe Aviation Ltd.,INDIGO,Services,Services,Transport Services,Airline,227429.47,115157.5467
IndusInd Bank Ltd.,INDUSINDBK,Financial Services,Financial Services,Banks,Private Sector Bank,62994.46,53106.09178
Indus Towers Ltd.,INDUSTOWER,Telecommunication,Telecommunication,Telecom - Services,Telecom - Infrastructure,88114.64,44022.1603
Infosys Ltd.,INFY,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,598630.69,517615.6005
INOX India Ltd.,INOXINDIA,Industrials,Capital Goods,Industrial Products,Other Industrial Products,10323.44,2553.451388
Inox Wind Ltd.,INOXWIND,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,25261.65,14053.15819
Intellect Design Arena Ltd.,INTELLECT,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,13231.94,8631.642703
Indian Overseas Bank,IOB,Financial Services,Financial Services,Banks,Public Sector Bank,69824.39,3764.721883
Indian Oil Corporation Ltd.,IOC,Energy,Oil Gas & Consumable Fuels,Petroleum Products,Refineries & Marketing,201933.71,53282.43036
Ipca Laboratories Ltd.,IPCALAB,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,35396.81,19336.8893
IRB Infrastructure Developers Ltd.,IRB,Industrials,Construction,Construction,Civil Construction,27054.72,8863.234491
IRCON International Ltd.,IRCON,Industrials,Construction,Construction,Civil Construction,15842.05,5473.237177
Indian Railway Catering And Tourism Corporation Ltd.,IRCTC,Consumer Discretionary,Consumer Services,Leisure Services,Tour Travel Related Services,58192,21881.6468
Indian Renewable Energy Development Agency Ltd.,IREDA,Financial Services,Financial Services,Finance,Financial Institution,40860.27,11539.55281
Indian Railway Finance Corporation Ltd.,IRFC,Financial Services,Financial Services,Finance,Financial Institution,167146.19,22789.38037
ITC Ltd.,ITC,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Diversified FMCG,Diversified FMCG,518227.87,384470.1467
ITI Ltd.,ITI,Telecommunication,Telecommunication,Telecom - Equipment & Accessories,Telecom - Equipment & Accessories,30479.33,3039.978261
Jammu & Kashmir Bank Ltd.,J&KBANK,,,,,,
J.B. Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,26417.74,13676.62363
JBM Auto Ltd.,JBMA,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,14445.07,2455.791856
Jindal Saw Ltd.,JINDALSAW,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,13416.88,4856.039458
Jindal Steel & Power Ltd.,JINDALSTEL,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel,101906.8,36805.57737
Jio Financial Services Ltd.,JIOFIN,Financial Services,Financial Services,Finance,Investment Company,208001.86,106984.715
J.K. Cement Ltd.,JKCEMENT,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,53083.29,28667.52375
JK Tyre & Industries Ltd.,JKTYRE,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products,8904.28,4366.837379
JM Financial Ltd.,JMFINANCIL,Financial Services,Financial Services,Finance,Holding Company,14839.64,6220.405894
Jaiprakash Power Ventures Ltd.,JPPOWER,Utilities,Power,Power,Power Generation,13028.43,9041.127802
Jindal Stainless Ltd.,JSL,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel,59472.05,23243.57845
JSW Energy Ltd.,JSWENERGY,Utilities,Power,Power,Power Generation,93540.57,28576.64337
JSW Holdings Ltd.,JSWHL,Financial Services,Financial Services,Finance,Investment Company,20478.81,6894.887035
JSW Infrastructure Ltd.,JSWINFRA,Services,Services,Transport Infrastructure,Port & Port services,63630.05,8237.736837
JSW Steel Ltd.,JSWSTEEL,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel,262397.21,101558.4788
Jubilant Foodworks Ltd.,JUBLFOOD,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants,42230.09,24284.96386
Jubilant Ingrevia Ltd.,JUBLINGREA,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,11293.03,5254.467452
Jubilant Pharmova Ltd.,JUBLPHARMA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,17554.37,8338.731557
Justdial Ltd.,JUSTDIAL,Consumer Discretionary,Consumer Services,Retailing,Internet & Catalogue Retail,7149.28,1847.223582
Jupiter Wagons Ltd.,JWL,Industrials,Capital Goods,Industrial Manufacturing,Railway Wagons,14371.38,4583.364086
Jyothy Labs Ltd.,JYOTHYLAB,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Household Products,12035.46,4449.243155
Jyoti CNC Automation Ltd.,JYOTICNC,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,22073.69,8249.730998
Kajaria Ceramics Ltd.,KAJARIACER,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics,20116.09,10473.28145
Kalyan Jewellers India Ltd.,KALYANKJIL,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,61717.65,22917.42931
Kansai Nerolac Paints Ltd.,KANSAINER,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints,18885,4698.078545
Karur Vysya Bank Ltd.,KARURVYSYA,Financial Services,Financial Services,Banks,Private Sector Bank,21055.32,20509.69473
Kaynes Technology India Ltd.,KAYNES,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,40810.35,17243.02507
Kec International Ltd.,KEC,Industrials,Construction,Construction,Civil Construction,21769.84,10581.75126
KEI Industries Ltd.,KEI,Industrials,Capital Goods,Industrial Products,Cables - Electricals,36792.53,23671.61262
Kfin Technologies Ltd.,KFINTECH,Financial Services,Financial Services,Capital Markets,Depositories Clearing Houses and Other Intermediaries,18770.72,12592.78652
Krishna Institute of Medical Sciences Ltd.,KIMS,Healthcare,Healthcare,Healthcare Services,Hospital,29808.35,18236.92736
Kirloskar Brothers Ltd.,KIRLOSBROS,Industrials,Capital Goods,Industrial Products,Compressors Pumps & Diesel Engines,15564.15,4941.461823
Kirloskar Oil Eng Ltd.,KIRLOSENG,Industrials,Capital Goods,Industrial Products,Compressors Pumps & Diesel Engines,13247.23,7562.550715
KNR Constructions Ltd.,KNRCON,Industrials,Construction,Construction,Civil Construction,5877.52,3008.115711
Kotak Mahindra Bank Ltd.,KOTAKBANK,Financial Services,Financial Services,Banks,Private Sector Bank,396524.72,292414.7759
Kalpataru Projects International Ltd.,KPIL,Industrials,Construction,Construction,Civil Construction,19041.14,12635.10948
KPIT Technologies Ltd.,KPITTECH,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,33253.64,19758.15133
K.P.R. Mill Ltd.,KPRMILL,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,34871.86,10214.63161
Dr. Lal Path Labs Ltd.,LALPATHLAB,Healthcare,Healthcare,Healthcare Services,Healthcare Service Provider,26807.33,11934.94298
Latent View Analytics Ltd.,LATENTVIEW,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,8247.52,2854.869662
Laurus Labs Ltd.,LAURUSLABS,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,45269.72,32764.27386
Lemon Tree Hotels Ltd.,LEMONTREE,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,11451.92,7138.979697
LIC Housing Finance Ltd.,LICHSGFIN,Financial Services,Financial Services,Finance,Housing Finance Company,31898.15,17388.57655
Life Insurance Corporation of India,LICI,Financial Services,Financial Services,Insurance,Life Insurance,560647.8,19622.11222
Linde India Ltd.,LINDEINDIA,Commodities,Chemicals,Chemicals & Petrochemicals,Industrial Gases,55810,13732.27264
Lloyds Metals And Energy Ltd.,LLOYDSME,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals,75079.54,18743.68158
Lodha Developers Ltd.,LODHA,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,121955.53,34124.25586
Larsen & Toubro Ltd.,LT,Industrials,Construction,Construction,Civil Construction,500933.89,426478.5867
L&T Finance Ltd.,LTF,Financial Services,Financial Services,Finance,Investment Company,50268.88,16140.13047
LT Foods Ltd.,LTFOODS,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,16025.72,6326.18635
LTIMindtree Ltd.,LTIM,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,149527.44,46599.02971
L&T Technology Services Ltd.,LTTS,Information Technology,Information Technology,IT - Services,IT Enabled Services,44595.93,11545.35079
Lupin Ltd.,LUPIN,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,88485.66,46719.72052
Mahindra & Mahindra Ltd.,M&M,,,,,,
Mahindra & Mahindra Financial Services Ltd.,M&MFIN,,,,,,
Bank of Maharashtra,MAHABANK,Financial Services,Financial Services,Banks,Public Sector Bank,41342.11,8432.921818
Maharashtra Seamless Ltd.,MAHSEAMLES,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,8897.55,2697.603798
Manappuram Finance Ltd.,MANAPPURAM,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),22168.13,14334.61936
Mankind Pharma Ltd.,MANKIND,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,104420.37,28499.87015
Vedant Fashions Ltd.,MANYAVAR,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,17783.9,4454.973112
C.E. Info Systems Ltd.,MAPMYINDIA,Information Technology,Information Technology,IT - Software,Software Products,9577.39,2499.784725
Marico Ltd.,MARICO,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,93196.84,37881.62596
Maruti Suzuki India Ltd.,MARUTI,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,396933.25,165233.3885
Mastek Ltd.,MASTEK,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,7802.41,3448.845474
Max Healthcare Institute Ltd.,MAXHEALTH,Healthcare,Healthcare,Healthcare Services,Hospital,122782.15,93609.35388
Mazagoan Dock Shipbuilders Ltd.,MAZDOCK,Industrials,Capital Goods,Industrial Manufacturing,Ship Building & Allied Services,112744.71,21175.3732
Multi Commodity Exchange of India Ltd.,MCX,Financial Services,Financial Services,Capital Markets,Exchange and Data Platform,40237.71,40146.45401
Global Health Ltd.,MEDANTA,Healthcare,Healthcare,Healthcare Services,Hospital,35710.31,11182.1835
Metropolis Healthcare Ltd.,METROPOLIS,Healthcare,Healthcare,Healthcare Services,Healthcare Service Provider,10360.38,5183.347915
Max Financial Services Ltd.,MFSL,Financial Services,Financial Services,Insurance,Life Insurance,52112.33,39680.5171
Mahanagar Gas Ltd.,MGL,Energy,Oil Gas & Consumable Fuels,Gas,LPG/CNG/PNG/LNG Supplier,12722.58,7315.265955
Minda Corporation Ltd.,MINDACORP,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,11040.69,3696.753558
MMTC Ltd.,MMTC,Services,Services,Commercial Services & Supplies,Trading & Distributors,9625.5,968.4504315
Samvardhana Motherson International Ltd.,MOTHERSON,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,99739.48,41678.9355
Motilal Oswal Financial Services Ltd.,MOTILALOFS,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,54911.35,13722.73034
MphasiS Ltd.,MPHASIS,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,51482.36,30721.89259
MRF Ltd.,MRF,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products,61072.46,29101.57646
Mangalore Refinery & Petrochemicals Ltd.,MRPL,Energy,Oil Gas & Consumable Fuels,Petroleum Products,Refineries & Marketing,21714.7,2205.713965
Motherson Sumi Wiring India Ltd.,MSUMI,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,25399.27,9715.295087
Muthoot Finance Ltd.,MUTHOOTFIN,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),105831.1,28187.05649
Nippon Life India Asset Management Ltd.,NAM-INDIA,Financial Services,Financial Services,Capital Markets,Asset Management Company,51447.84,14197.49498
NATCO Pharma Ltd.,NATCOPHARM,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,16910.66,8435.966484
National Aluminium Co. Ltd.,NATIONALUM,Commodities,Metals & Mining,Non - Ferrous Metals,Aluminium,34640.71,16867.25555
Info Edge (India) Ltd.,NAUKRI,Consumer Discretionary,Consumer Services,Retailing,Internet & Catalogue Retail,88765.12,53033.69867
Nava Ltd.,NAVA,Utilities,Power,Power,Power Generation,17209.31,8406.574666
Navin Fluorine International Ltd.,NAVINFLUOR,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,25132.64,17651.98591
NBCC (India) Ltd.,NBCC,Industrials,Construction,Construction,Civil Construction,29565,11306.42469
NCC Ltd.,NCC,Industrials,Construction,Construction,Civil Construction,14072.55,9141.769937
Nestle India Ltd.,NESTLEIND,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,216067.62,80127.59637
Netweb Technologies India Ltd.,NETWEB,Information Technology,Information Technology,IT - Services,IT Enabled Services,12180.58,3528.714495
Network18 Media & Investments Ltd.,NETWORK18,Consumer Discretionary,Media Entertainment & Publication,Entertainment,Media & Entertainment,8735.43,3691.252079
Neuland Laboratories Ltd.,NEULANDLAB,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,16422.26,10933.16748
Newgen Software Technologies Ltd.,NEWGEN,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,12793.59,5674.662793
Narayana Hrudayalaya Ltd.,NH,Healthcare,Healthcare,Healthcare Services,Hospital,36274.04,12021.07266
NHPC Ltd.,NHPC,Utilities,Power,Power,Power Generation,83725.37,26298.63953
The New India Assurance Company Ltd.,NIACL,Financial Services,Financial Services,Insurance,General Insurance,32050.3,4667.453721
Niva Bupa Health Insurance Company Ltd.,NIVABUPA,Financial Services,Financial Services,Insurance,General Insurance,14867.21,3129.59191
NLC India Ltd.,NLCINDIA,Utilities,Power,Power,Power Generation,32405.7,7603.510845
NMDC Ltd.,NMDC,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals,62914.25,24664.46075
NMDC Steel Ltd.,NSLNISP,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel,10541.39,4132.709487
NTPC Ltd.,NTPC,Utilities,Power,Power,Power Generation,320571.78,156323.9445
NTPC Green Energy Ltd.,NTPCGREEN,Utilities,Power,Power,Power Generation,86538.41,9513.426554
Nuvama Wealth Management Ltd.,NUVAMA,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,24987.55,10379.50191
FSN E-Commerce Ventures Ltd.,NYKAA,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce,59920.56,28495.40017
Oberoi Realty Ltd.,OBEROIRLTY,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,58419.97,18858.72623
Oracle Financial Services Software Ltd.,OFSS,Information Technology,Information Technology,IT - Software,Software Products,74649.64,20306.49392
Oil India Ltd.,OIL,Energy,Oil Gas & Consumable Fuels,Oil,Oil Exploration & Production,70375.19,23531.8436
Ola Electric Mobility Ltd.,OLAELEC,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers,17832.99,4069.897387
Olectra Greentech Ltd.,OLECTRA,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,11852.46,5891.442246
Oil & Natural Gas Corporation Ltd.,ONGC,Energy,Oil Gas & Consumable Fuels,Oil,Oil Exploration & Production,293875.32,90487.73823
Page Industries Ltd.,PAGEIND,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels,51073.59,28788.64994
Patanjali Foods Ltd.,PATANJALI,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,65990.65,20158.29565
One 97 Communications Ltd.,PAYTM,Financial Services,Financial Services,Financial Technology (Fintech),Financial Technology (Fintech),67920.42,36192.485
PCBL Chemical Ltd.,PCBL,Commodities,Chemicals,Chemicals & Petrochemicals,Carbon Black,14607.8,6782.636553
Piramal Enterprises Ltd.,PEL,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),26407.95,13928.87431
Persistent Systems Ltd.,PERSISTENT,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,81093.4,55473.07558
Petronet LNG Ltd.,PETRONET,Energy,Oil Gas & Consumable Fuels,Gas,LPG/CNG/PNG/LNG Supplier,41955,20905.42254
Power Finance Corporation Ltd.,PFC,Financial Services,Financial Services,Finance,Financial Institution,135304.17,59533.02393
Pfizer Ltd.,PFIZER,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,22931.05,7580.56966
PG Electroplast Ltd.,PGEL,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics,21009.1,10609.13359
Phoenix Mills Ltd.,PHOENIXLTD,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,51912.47,27005.33425
Pidilite Industries Ltd.,PIDILITIND,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,155194.94,46990.54406
PI Industries Ltd.,PIIND,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,61118.13,32543.26331
Punjab National Bank,PNB,Financial Services,Financial Services,Banks,Public Sector Bank,120446.05,36034.92743
PNB Housing Finance Ltd.,PNBHOUSING,Financial Services,Financial Services,Finance,Housing Finance Company,19919.39,12240.90371
PNC Infratech Ltd.,PNCINFRA,Industrials,Construction,Construction,Civil Construction,7900.12,3467.506444
PB Fintech Ltd.,POLICYBZR,Financial Services,Financial Services,Financial Technology (Fintech),Financial Technology (Fintech),82037.13,59122.35354
Polycab India Ltd.,POLYCAB,Industrials,Capital Goods,Industrial Products,Cables - Electricals,103796.53,34697.20857
Poly Medicure Ltd.,POLYMED,Healthcare,Healthcare,Healthcare Equipment & Supplies,Medical Equipment & Supplies,19638.95,7376.075427
Poonawalla Fincorp Ltd.,POONAWALLA,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),34748.81,12767.99859
Power Grid Corporation of India Ltd.,POWERGRID,Utilities,Power,Power,Power - Transmission,265997.27,129224.1334
Hitachi Energy India Ltd.,POWERINDIA,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,92220.22,26237.11342
Piramal Pharma Ltd.,PPLPHARMA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,25614.61,11897.85895
Praj Industries Ltd.,PRAJIND,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,8342.36,5578.258827
Premier Energies Ltd.,PREMIERENE,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,44698.79,8985.350028
Prestige Estates Projects Ltd.,PRESTIGE,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,69980.74,27332.09801
PTC Industries Ltd.,PTCIL,Industrials,Capital Goods,Industrial Products,Other Industrial Products,22446.22,9033.975357
PVR INOX Ltd.,PVRINOX,Consumer Discretionary,Media Entertainment & Publication,Entertainment,Film Production Distribution & Exhibition,10487.76,7596.606749
Radico Khaitan Ltd,RADICO,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,38018.38,22155.85441
Railtel Corporation Of India Ltd.,RAILTEL,Telecommunication,Telecommunication,Telecom - Services,Other Telecom Services,11539.34,3133.323263
Rainbow Childrens Medicare Ltd.,RAINBOW,Healthcare,Healthcare,Healthcare Services,Hospital,15029.65,7370.944985
The Ramco Cements Ltd.,RAMCOCEM,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,27029.49,14410.77011
Raymond Ltd.,RAYMOND,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,4214.12,2110.826007
Raymond Lifestyle Ltd.,RAYMONDLSL,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,6866.09,3042.111758
RBL Bank Ltd.,RBLBANK,Financial Services,Financial Services,Banks,Private Sector Bank,16393.11,15946.8734
Rashtriya Chemicals & Fertilizers Ltd.,RCF,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers,8020.99,2002.080029
REC Ltd.,RECLTD,Financial Services,Financial Services,Finance,Financial Institution,101523.95,48023.36707
Redington Ltd.,REDINGTON,Services,Services,Commercial Services & Supplies,Trading & Distributors,18961.94,14372.29634
Reliance Industries Ltd.,RELIANCE,Energy,Oil Gas & Consumable Fuels,Petroleum Products,Refineries & Marketing,1882366.94,939805.5791
Shree Renuka Sugars Ltd.,RENUKA,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,6176.88,2305.982726
RHI MAGNESITA INDIA LTD.,RHIM,Industrials,Capital Goods,Industrial Products,Electrodes & Refractories,10325.07,3022.25162
RITES Ltd.,RITES,Industrials,Construction,Construction,Civil Construction,12075.17,3356.559106
Ramkrishna Forgings Ltd.,RKFORGE,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,10572.19,5986.564477
Route Mobile Ltd.,ROUTE,Telecommunication,Telecommunication,Telecom - Services,Other Telecom Services,5543.79,1393.813438
Reliance Power Ltd.,RPOWER,Utilities,Power,Power,Power Generation,18644.06,12575.5646
R R Kabel Ltd.,RRKABEL,Industrials,Capital Goods,Industrial Products,Cables - Electricals,14496.52,4234.652169
RattanIndia Enterprises Ltd.,RTNINDIA,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce,7294.24,1826.527914
Rail Vikas Nigam Ltd.,RVNL,Industrials,Construction,Construction,Civil Construction,72371.05,19648.30522
Sagility India Ltd.,SAGILITY,Information Technology,Information Technology,IT - Services,IT Enabled Services,21791.58,7109.111954
Steel Authority of India Ltd.,SAIL,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel,51115.25,17840.14248
Sai Life Sciences Ltd.,SAILIFE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,16511.04,5089.165075
Sammaan Capital Ltd.,SAMMAANCAP,Financial Services,Financial Services,Finance,Housing Finance Company,10081.12,9358.875687
Sapphire Foods India Ltd.,SAPPHIRE,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants,10306.75,7567.009541
Sarda Energy and Minerals Ltd.,SARDAEN,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel,19523.68,5078.930272
Saregama India Ltd,SAREGAMA,Consumer Discretionary,Media Entertainment & Publication,Entertainment,Media & Entertainment,9307.88,3608.738814
SBFC Finance Ltd.,SBFC,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),11153.69,3691.236575
SBI Cards and Payment Services Ltd.,SBICARD,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),76027.06,23870.90139
SBI Life Insurance Company Ltd.,SBILIFE,Financial Services,Financial Services,Insurance,Life Insurance,186437.35,83162.24234
State Bank of India,SBIN,Financial Services,Financial Services,Banks,Public Sector Bank,743618.55,319249.5734
Schaeffler India Ltd.,SCHAEFFLER,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,62649.64,16085.0437
Schneider Electric Infrastructure Ltd.,SCHNEIDER,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,24089.73,5877.123621
Shipping Corporation of India Ltd.,SCI,Services,Services,Transport Services,Shipping,9651.36,3494.215346
Shree Cement Ltd.,SHREECEM,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,110334.93,40780.45117
Shriram Finance Ltd.,SHRIRAMFIN,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),117923.84,87530.62176
Shyam Metalics and Energy Ltd.,SHYAMMETL,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,26904.12,6749.679638
Siemens Ltd.,SIEMENS,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,111141.65,27522.89553
Signatureglobal (India) Ltd.,SIGNATURE,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,15709.1,4369.814736
SJVN Ltd.,SJVN,Utilities,Power,Power,Power Generation,36664.99,6655.098815
SKF India Ltd.,SKFINDIA,Industrials,Capital Goods,Industrial Products,Abrasives & Bearings,22593.15,10592.45905
Sobha Ltd.,SOBHA,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,16638.49,6909.347985
Solar Industries India Ltd.,SOLARINDS,Commodities,Chemicals,Chemicals & Petrochemicals,Explosives,135002.11,36243.20728
Sona BLW Precision Forgings Ltd.,SONACOMS,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,28157.74,20240.26432
Sonata Software Ltd.,SONATSOFTW,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,9814.87,6797.552223
SRF Ltd.,SRF,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,86348.55,42150.52733
Star Health and Allied Insurance Company Ltd.,STARHEALTH,Financial Services,Financial Services,Insurance,General Insurance,25428.6,9740.655286
Sumitomo Chemical India Ltd.,SUMICHEM,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,29399.68,7226.648088
Sundaram Finance Ltd.,SUNDARMFIN,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),51686.63,31939.75098
Sundram Fasteners Ltd.,SUNDRMFAST,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,19878.14,10429.72412
Sun Pharmaceutical Industries Ltd.,SUNPHARMA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,383773.63,171989.3029
